"","month","value","year","Departamento","Municipio","variable","sector"
"810","Agosto",40,2016,"05 - Antioquia","05042 - Santafé De Antioquia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"910","Septiembre",37,2016,"05 - Antioquia","05042 - Santafé De Antioquia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1010","Octubre",39,2016,"05 - Antioquia","05042 - Santafé De Antioquia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1111","Noviembre",40,2016,"05 - Antioquia","05042 - Santafé De Antioquia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1210","Diciembre",39,2016,"05 - Antioquia","05042 - Santafé De Antioquia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"130","Enero",24,2016,"05 - Antioquia","05044 - Anza","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"211","Febrero",26,2016,"05 - Antioquia","05044 - Anza","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"311","Marzo",38,2016,"05 - Antioquia","05044 - Anza","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"411","Abril",35,2016,"05 - Antioquia","05044 - Anza","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"511","Mayo",32,2016,"05 - Antioquia","05044 - Anza","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"611","Junio",29,2016,"05 - Antioquia","05044 - Anza","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"711","Julio",26,2016,"05 - Antioquia","05044 - Anza","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"811","Agosto",23,2016,"05 - Antioquia","05044 - Anza","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"911","Septiembre",25,2016,"05 - Antioquia","05044 - Anza","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1011","Octubre",27,2016,"05 - Antioquia","05044 - Anza","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1112","Noviembre",28,2016,"05 - Antioquia","05044 - Anza","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1211","Diciembre",24,2016,"05 - Antioquia","05044 - Anza","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"131","Enero",1,2016,"05 - Antioquia","05045 - Apartadó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"212","Febrero",NA,2016,"05 - Antioquia","05045 - Apartadó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"312","Marzo",1,2016,"05 - Antioquia","05045 - Apartadó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"412","Abril",1,2016,"05 - Antioquia","05045 - Apartadó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"512","Mayo",1,2016,"05 - Antioquia","05045 - Apartadó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"612","Junio",1,2016,"05 - Antioquia","05045 - Apartadó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"712","Julio",1,2016,"05 - Antioquia","05045 - Apartadó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"812","Agosto",1,2016,"05 - Antioquia","05045 - Apartadó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"912","Septiembre",1,2016,"05 - Antioquia","05045 - Apartadó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1012","Octubre",1,2016,"05 - Antioquia","05045 - Apartadó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1113","Noviembre",1,2016,"05 - Antioquia","05045 - Apartadó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1212","Diciembre",1,2016,"05 - Antioquia","05045 - Apartadó","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"132","Enero",NA,2016,"05 - Antioquia","05051 - Arboletes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"213","Febrero",1,2016,"05 - Antioquia","05051 - Arboletes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"313","Marzo",2,2016,"05 - Antioquia","05051 - Arboletes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"413","Abril",3,2016,"05 - Antioquia","05051 - Arboletes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
