"dane_code","department","municipality","cod_dde_2026","cod_mme_2026","municipality_2026","pvs1_petro_2022","petro_winner_2022","winner_name_2022","share_cepeda_2026","cepeda_winner_2026","winner_name_2026","total_votes_2026","match_type","switched_plurality","petro_share_diff","petro_supporter_switched"
"25126","Cundinamarca","Cajica","15","031","CAJICA",0.312399983406067,FALSE,"rodolfo_hernández",0.300579753233239,FALSE,"ABELARDO DE LA ESPRIELLA",53816,"exact",FALSE,-0.0118202301728277,"Did not vote Petro before"
"25148","Cundinamarca","Caparrapi","15","034","CAPARRAPI",0.0968999937176704,FALSE,"rodolfo_hernández",0.125880281690141,FALSE,"ABELARDO DE LA ESPRIELLA",5680,"exact",FALSE,0.0289802879724704,"Did not vote Petro before"
"25151","Cundinamarca","Caqueza","15","037","CAQUEZA",0.260899990797043,FALSE,"rodolfo_hernández",0.277565776260293,FALSE,"ABELARDO DE LA ESPRIELLA",9958,"exact",FALSE,0.0166657854632504,"Did not vote Petro before"
"25154","Cundinamarca","Carmen De Carupa","15","040","CARMEN DE CARUPA",0.156300008296967,FALSE,"rodolfo_hernández",0.172430952973376,FALSE,"ABELARDO DE LA ESPRIELLA",4019,"exact",FALSE,0.0161309446764099,"Did not vote Petro before"
"25168","Cundinamarca","Chaguani","15","052","CHAGUANI",0.180300012230873,FALSE,"rodolfo_hernández",0.178664353859497,FALSE,"ABELARDO DE LA ESPRIELLA",2306,"exact",FALSE,-0.00163565837137614,"Did not vote Petro before"
"25175","Cundinamarca","Chia","15","055","CHIA",0.284799993038177,FALSE,"rodolfo_hernández",0.274616221190446,FALSE,"ABELARDO DE LA ESPRIELLA",95628,"exact",FALSE,-0.0101837718477312,"Did not vote Petro before"
"25178","Cundinamarca","Chipaque","15","058","CHIPAQUE",0.242800012230873,FALSE,"rodolfo_hernández",0.264575519945448,FALSE,"ABELARDO DE LA ESPRIELLA",5866,"exact",FALSE,0.0217755077145753,"Did not vote Petro before"
"25181","Cundinamarca","Choachi","15","061","CHOACHI",0.199200004339218,FALSE,"rodolfo_hernández",0.199130639097744,FALSE,"ABELARDO DE LA ESPRIELLA",8512,"exact",FALSE,-6.93652414737733e-05,"Did not vote Petro before"
"25183","Cundinamarca","Choconta","15","064","CHOCONTA",0.196900010108948,FALSE,"rodolfo_hernández",0.245903083700441,FALSE,"ABELARDO DE LA ESPRIELLA",11350,"exact",FALSE,0.0490030735914928,"Did not vote Petro before"
"25200","Cundinamarca","Cogua","15","043","COGUA",0.331500023603439,FALSE,"rodolfo_hernández",0.38377874456184,FALSE,"ABELARDO DE LA ESPRIELLA",12872,"exact",FALSE,0.0522787209584003,"Did not vote Petro before"
"25214","Cundinamarca","Cota","15","046","COTA",0.288300007581711,FALSE,"rodolfo_hernández",0.275443305319664,FALSE,"ABELARDO DE LA ESPRIELLA",22727,"exact",FALSE,-0.012856702262047,"Did not vote Petro before"
"25224","Cundinamarca","Cucunuba","15","049","CUCUNUBA",0.124099999666214,FALSE,"rodolfo_hernández",0.126774595267746,FALSE,"ABELARDO DE LA ESPRIELLA",4015,"exact",FALSE,0.00267459560153196,"Did not vote Petro before"
"25245","Cundinamarca","El Colegio","15","067","EL COLEGIO",0.294400006532669,FALSE,"rodolfo_hernández",0.332074471609355,FALSE,"ABELARDO DE LA ESPRIELLA",15093,"exact",FALSE,0.0376744650766863,"Did not vote Petro before"
"25260","Cundinamarca","El Rosal","15","072","EL ROSAL",0.253899991512299,FALSE,"rodolfo_hernández",0.365067956089911,FALSE,"ABELARDO DE LA ESPRIELLA",15304,"exact",FALSE,0.111167964577613,"Did not vote Petro before"
"25269","Cundinamarca","Facatativa","15","076","FACATATIVA",0.409700006246567,TRUE,"gustavo_petro",0.464876309935408,TRUE,"IVÁN CEPEDA CASTRO",74622,"exact",FALSE,0.055176303688841,"No Switch (Still Petro)"
"25279","Cundinamarca","Fomeque","15","079","FOMEQUE",0.132799997925758,FALSE,"rodolfo_hernández",0.146359474228327,FALSE,"ABELARDO DE LA ESPRIELLA",6771,"exact",FALSE,0.0135594763025683,"Did not vote Petro before"
"25281","Cundinamarca","Fosca","15","085","FOSCA",0.13340000808239,FALSE,"rodolfo_hernández",0.132781267846945,FALSE,"ABELARDO DE LA ESPRIELLA",3502,"exact",FALSE,-0.000618740235445225,"Did not vote Petro before"
"25286","Cundinamarca","Funza","15","088","FUNZA",0.414499998092651,TRUE,"gustavo_petro",0.425816448554057,TRUE,"IVÁN CEPEDA CASTRO",59373,"exact",FALSE,0.0113164504614052,"No Switch (Still Petro)"
"25288","Cundinamarca","Fuquene","15","091","FUQUENE",0.251000016927719,FALSE,"rodolfo_hernández",0.273359840954274,FALSE,"ABELARDO DE LA ESPRIELLA",3018,"exact",FALSE,0.0223598240265552,"Did not vote Petro before"
"25290","Cundinamarca","Fusagasuga","15","094","FUSAGASUGA",0.312999993562698,FALSE,"rodolfo_hernández",0.325464530563898,FALSE,"ABELARDO DE LA ESPRIELLA",83579,"exact",FALSE,0.0124645370011993,"Did not vote Petro before"
"25293","Cundinamarca","Gachala","15","097","GACHALA",0.230800002813339,FALSE,"rodolfo_hernández",0.259003273917788,FALSE,"ABELARDO DE LA ESPRIELLA",2749,"exact",FALSE,0.028203271104449,"Did not vote Petro before"
"25295","Cundinamarca","Gachancipa","15","100","GACHANCIPA",0.371399998664856,FALSE,"rodolfo_hernández",0.480336790224869,TRUE,"IVÁN CEPEDA CASTRO",9739,"exact",FALSE,0.108936791560013,"Did not vote Petro before"
"25297","Cundinamarca","Gacheta","15","103","GACHETA",0.19820000231266,FALSE,"rodolfo_hernández",0.22496674900247,FALSE,"ABELARDO DE LA ESPRIELLA",5263,"exact",FALSE,0.0267667466898099,"Did not vote Petro before"
"25299","Cundinamarca","Gama","15","106","GAMA",0.14190000295639,FALSE,"rodolfo_hernández",0.192464358452138,FALSE,"ABELARDO DE LA ESPRIELLA",1964,"exact",FALSE,0.0505643554957481,"Did not vote Petro before"
"25307","Cundinamarca","Girardot","15","109","GIRARDOT",0.29559999704361,FALSE,"rodolfo_hernández",0.380621109148963,FALSE,"ABELARDO DE LA ESPRIELLA",56061,"exact",FALSE,0.0850211121053531,"Did not vote Petro before"
"25317","Cundinamarca","Guacheta","15","112","GUACHETA",0.159400001168251,FALSE,"rodolfo_hernández",0.189525786364362,FALSE,"ABELARDO DE LA ESPRIELLA",6263,"exact",FALSE,0.0301257851961111,"Did not vote Petro before"
"25320","Cundinamarca","Guaduas","15","115","GUADUAS",0.226499989628792,FALSE,"rodolfo_hernández",0.285107888220729,FALSE,"ABELARDO DE LA ESPRIELLA",14135,"exact",FALSE,0.0586078985919369,"Did not vote Petro before"
"25322","Cundinamarca","Guasca","15","118","GUASCA",0.274899989366531,FALSE,"rodolfo_hernández",0.322467854725919,FALSE,"ABELARDO DE LA ESPRIELLA",8866,"exact",FALSE,0.0475678653593879,"Did not vote Petro before"
"25324","Cundinamarca","Guataqui","15","121","GUATAQUI",0.359799981117249,TRUE,"gustavo_petro",0.367181751287712,FALSE,"ABELARDO DE LA ESPRIELLA",1359,"exact",TRUE,0.00738177017046304,"Switched (Voted Petro before, not anymore)"
