"","Year","Municipality","Mean_price_of_hydrocarbons_in_USD","Total_production_of_the_field_in_barrels_or_kilo_cubic_feet_by_municipality","Total_volume_of_royalties_liquidated_in_barrels_or_kilo_cubic_feet_by_municipality","Total_royalties_liquidated_in_COP_pesos_by_municipality","Production_Years","Production_2010_2019","Opening","Closing","drop_during_crisis","Production_pause","Unique_oil_field_by_municipality"
"264",2012,"BARRANCABERMEJA",61.0015757575758,16119855,1954304.78,307616618606.6,10,1,"","2021","1","1",11
"265",2012,"BOLIVAR",83.5495,8495,509.7,83339405.285,10,1,"","","1","1",1
"266",2012,"CABUYARO",44.4077685950413,6728667,529272.47,79358756242.44,10,1,"","2021","1","1",25
"267",2012,"CANTAGALLO",37.6340909090909,4634472,584876.64,83277424247.95,10,1,"","2021","0","1",2
"268",2012,"CASTILLA NUEVA",92.0095454545454,24491068,2229268.63,368158947626.25,10,1,"","2021","1","1",5
"269",2012,"CHAPARRAL",93.515,63884,12776.8,2141685443.83,10,1,"","2021","1","1",3
"270",2012,"CHIRIGUANA",4.74166666666667,3377.5,172.78,1594767.61,10,1,"","2021","0","1",4
"271",2012,"CICUCO",103.18,170571,34114.2,6331747510.99,10,1,"","2021","0","1",2
"272",2012,"CIMITARRA",62.1977142857143,520578,102347.34,1203795504.22,10,1,"","2021","1","1",6
"273",2012,"COELLO",97.485,6011,480.88,84677889.71,5,0,"","2014","1","0",1
"274",2012,"CORRALES",50.6931481481481,1317557,93161.01,6992269858.02,10,1,"","2021","1","1",7
"275",2012,"CUCUTA",77.2278571428571,696960,120470.4,14134863375.44,10,1,"","2021","0","1",6
"276",2012,"DIBULLA",4.98,13860966,2772193.2,24910296489.19,10,1,"","2021","1","1",4
"277",2012,"EL CARMEN DE CHUCURI",97.2845454545455,19500,3900,682910076.77,10,1,"","","1","1",2
"278",2012,"ESPINAL",41.053,676010,33836.98,4218615041.17,10,1,"","2021","1","1",10
"279",2012,"FLANDES",49.7575,14246,712.3,90332911.37,10,1,"","2021","1","1",2
"280",2012,"GARZON",87.8845454545455,243788,48757.6,8323307285.54,10,1,"","2021","1","1",2
"281",2012,"GIGANTE",87.8845454545455,32303,6460.6,1102870940.68,10,1,"","2021","1","1",2
"282",2012,"GUADUAS",49.195,400147,80029.4,8244042034.61,10,1,"","2021","1","1",1
"283",2012,"GUAMAL",91.652962962963,2830868,170382.76,28032161824.23,10,1,"","2021","0","1",3
"284",2012,"ICONONZO",94.795,141085,7054.25,1203231749.3,10,1,"","2021","1","1",1
"285",2012,"IPIALES",96.79,187102,37420.4,6540320903.76,10,1,"","2021","0","1",1
"286",2012,"LA ESPERANZA",95.4475,24372,4874.4,836819686.93,10,1,"","","1","1",1
"287",2012,"LA JAGUA IBIRICO",4.71,15574,854.545,7688359.585,10,1,"","2021","1","1",3
"288",2012,"LOS PALMITOS",51.8411538461538,7209016,461430.14,6109666645.72,10,1,"","2021","1","1",2
"289",2012,"MANAURE",4.97878378378378,114873354,22974670.8,204161569424.78,10,1,"","2021","1","1",6
"290",2012,"MANI",79.5430434782609,4569890,476044.85,75208799822.1,10,1,"","2021","1","1",25
"291",2012,"MELGAR",94.8222222222222,5189960,319268.28,54473629583.02,10,1,"","2021","1","1",3
"292",2012,"MOCOA",96.36,796286,72837.28,12687946960.1,10,1,"","2021","0","1",2
"293",2012,"MOMPOS",105.525,71,14.2,2771766.83,10,1,"","2021","0","1",2
"294",2012,"MONTERREY",91.7921739130435,519032,41522.56,6700514269.35,10,1,"","2021","1","1",2
"295",2012,"MUNICIPIO NN",20.788064516129,10519906,674915.38,5946509174.09,10,1,"","2021","1","1",5
"296",2012,"NEIVA",70.2170410958904,7635667,1130195.58,165661411118.54,10,1,"","2021","1","1",12
"297",2012,"NUNCHIA",54.3006818181818,20452,4090.4,360926816.4,10,1,"","2021","1","1",4
"298",2012,"ORITO",95.2962727272727,2122418,298883.8,51571799138.94,10,1,"","2021","0","1",10
"299",2012,"OROCUE",85.698475177305,9853358,1095678.25,177536510237.11,10,1,"","2021","1","1",60
"300",2012,"ORTEGA",80.978125,1422400,203505.36,22169973428.09,10,1,"","2021","1","1",7
"301",2012,"PAICOL",95.71,495790,39663.2,6810917685.78,10,1,"","2021","0","1",1
"302",2012,"PALERMO",67.9915151515151,2119647,369808.56,53711706636.31,10,1,"","2021","1","1",4
"303",2012,"PAZ DE ARIPORO",87.9932954545455,3848186,361788.73,54979411133.54,10,1,"","2021","1","1",30
"304",2012,"PIAMONTE",96.2816666666667,333428,48317.44,8350511382.83,10,1,"","2021","0","1",4
"305",2012,"PIEDRAS",59.4874107142857,2464560,271538.88,17176053902.43,10,1,"","2021","1","1",4
"306",2012,"PORE",85.4182857142857,3045869,252840.3,43640485849.41,10,1,"","2021","1","1",3
"307",2012,"PRADO",95.345,50023,10004.6,1678186508.97,10,1,"","2021","1","1",1
"308",2012,"PUERTO ASIS",95.3443859649123,3005838,252085.72,42678088487.97,10,1,"","2021","1","1",7
"309",2012,"PUERTO BOYACA",94.4544444444444,13535613,1352178.93,230039987143.3,10,1,"","2021","0","1",12
"310",2012,"PUERTO CAICEDO",97.8032,135218,27043.6,4811118200.11,10,1,"","2021","1","1",6
"311",2012,"PUERTO GAITAN",91.5877096774194,95855863,15572677.06,2493003912578.79,10,1,"","2021","1","1",49
"312",2012,"PUERTO GUZMÁN",96.0825,7067,1413.4,244447802.61,5,0,"","2017","NA","0",1
"313",2012,"PUERTO LOPEZ",93.5425,263162,52632.4,8854130153.21,10,1,"","2021","0","1",5
"314",2012,"PUERTO NARE",94.45875,970308,140766.48,23887312345.84,10,1,"","2021","1","1",6
"315",2012,"PUERTO SALGAR",93.755,1597,319.4,54432776.87,8,0,"","2017","1","0",1
"316",2012,"PUERTO TRIUNFO",94.4275,470094,75215.04,12766785089.19,10,1,"","2021","1","1",2
"317",2012,"PUERTO WILCHES",65.6283333333333,2170310,280136.48,42704506929.93,10,1,"","2021","1","1",6
"318",2012,"PULI",94.5463636363636,76727,12655.24,2168301363.3,10,1,"","2021","0","1",1
"319",2012,"PURIFICACIÓN",95.7175,4357795,869545.64,148833669383.28,10,1,"","2021","1","1",4
"320",2012,"RIO DE ORO",79.8195714285714,1803594,165915.78,14259041487.11,10,1,"","2021","1","1",12
